species,longitude_DMS,latitude_DMS
Phragmipedium_caudatum,73°33 43.4 'W,13°08 39.0 'S
Phragmipedium_caudatum,75°24 20.6 'W,10°48 18.9 'S
Phragmipedium_caudatum,75°37 57.5 'W,10°29 21.0 'S
Phragmipedium_caudatum,75°29 13.7 'W,10°23 46.2 'N
Phragmipedium_caudatum,72°30 02.3 'E,13°02 32.9 'S
Phragmipedium_caudatum,72°29 18.1 'W,13°02 18.6 'S
Phragmipedium_caudatum,73°35 27.9 'E,12°57 25.5 'S
Phragmipedium_caudatum,72°30 21.0 'W,13°10 17.0 'N
Phragmipedium_caudatum,75°15 30.2 'W,10°40 25.1 'S
Phragmipedium_caudatum,75°33 00.0 'W,10°16 48.0 'S
Phragmipedium_caudatum,68°54 36.0 'W,14°44 24.0 'N
Phragmipedium_caudatum,72°35 11.2 'E,13°05 03.5 'N
Phragmipedium_caudatum,68°13 48.0 'W,14°30 00.0 'S
Phragmipedium_caudatum,75°49 59.9 'W,9°30 00.0 'S
Phragmipedium_caudatum,69°42 39.3 'W,13°55 51.1 'N
Phragmipedium_caudatum,72°29 15.2 'E,13°10 32.9 'S
Phragmipedium_caudatum,76°00 51.6 'W,9°25 48.9 'S
Phragmipedium_caudatum,70°54 14.4 'W,13°24 49.7 'S
Phragmipedium_caudatum,70°28 41.3 'W,13°39 14.9 'S
Phragmipedium_caudatum,75°31 05.0 'W,10°17 30.0 'S
Phragmipedium_caudatum,72°35 07.1 'W,13°01 19.0 'S
Phragmipedium_caudatum,72°35 10.0 'W,13°05 13.0 'S
Phragmipedium_caudatum,73°42 58.7 'W,12°55 22.7 'S
Phragmipedium_caudatum,75°36 58.0 'W,9°38 18.8 'S
Phragmipedium_caudatum,75°32 30.6 'E,10°36 06.8 'S
Phragmipedium_caudatum,75°36 18.6 'W,10°22 07.3 'S
Phragmipedium_caudatum,72°03 50.4 'W,12°58 48.1 'S
Phragmipedium_caudatum,72°03 51.3 'W,12°58 49.5 'N
Phragmipedium_caudatum,72°03 49.6 'E,12°58 49.1 'S
Phragmipedium_caudatum,69°22 21.5 'W,13°52 32.4 'S
Phragmipedium_caudatum,73°33 43.4 'E,13°08 39.7 'S
Phragmipedium_caudatum,73°40 09.7 'W,13°00 53.8 'N
Phragmipedium_caudatum,73°35 26.8 'W,13°03 58.8 'S
Phragmipedium_caudatum,70°54 19.6 'W,13°25 45.6 'S
Phragmipedium_caudatum,70°54 19.2 'W,13°25 45.8 'N
Phragmipedium_caudatum,70°54 20.0 'W,13°25 47.0 'S
Phragmipedium_caudatum,70°54 19.9 'W,13°25 46.9 'S
Phragmipedium_caudatum,75°16 01.0 'W,10°42 21.9 'S
Phragmipedium_caudatum,72°04 20.2 'W,12°57 53.8 'N
Phragmipedium_caudatum,75°16 48.0 'W,10°30 00.0 'S
Phragmipedium_caudatum,68°51 45.4 'E,14°41 24.9 'S
Phragmipedium_caudatum,68°50 08.6 'E,14°43 31.1 'S
Phragmipedium_caudatum,68°54 14.9 'E,14°44 37.3 'N
Phragmipedium_caudatum,76°43 08.0 'E,8°19 15.0 'S
Phragmipedium_caudatum,68°44 06.1 'E,14°41 56.5 'S
Phragmipedium_caudatum,76°26 48.6 'E,9°20 57.7 'N
Phragmipedium_caudatum,76°06 15.5 'W,9°34 36.3 'S
Phragmipedium_caudatum,75°56 24.5 'W,9°30 42.4 'S
Phragmipedium_caudatum,74°47 34.0 'W,11°27 17.2 'S
Phragmipedium_caudatum,75°28 17.3 'W,11°11 19.9 'S
Phragmipedium_caudatum,75°27 05.7 'W,10°26 30.3 'S
Phragmipedium_caudatum,75°15 33.9 'W,11°27 31.2 'S
Phragmipedium_caudatum,70°23 25.0 'W,13°32 52.6 'S
